Year,classical,hypermodern,other
1982,0.6012957450534057,0.37340220626860443,0.025302048677989845
1983,0.594268704908935,0.38418848695827656,0.021542808132788457
1984,0.6191571201605486,0.35755497951333726,0.023287900326114223
1985,0.6111936181949336,0.36360164636992404,0.02520473543514236
1986,0.6212436275825061,0.35477595921652805,0.023980413200965923
1987,0.6217986200444392,0.35425681206876386,0.023944567886796865
1988,0.6126352191974358,0.3618497353604791,0.025515045442085063
1989,0.6106988814971854,0.36212442430002195,0.027176694202792603
1990,0.6091605068637803,0.3618829197465681,0.028956573389651533
1991,0.6153846153846154,0.35704886970709754,0.02756651490828706
1992,0.6297139329874037,0.3426245635693756,0.027661503443220617
1993,0.6410467026519596,0.33093338250578336,0.028019914842257014
1994,0.6507676545591875,0.32166707797695165,0.027565267463860784
1995,0.6517004613238923,0.3205396416693488,0.027759897006758932
1996,0.6518798847220635,0.31923444860926437,0.0288856666686722
1997,0.6591339393469668,0.31346258179523234,0.027403478857800857
1998,0.6652336064060431,0.30615969742207405,0.028606696171882832
1999,0.6683892436810296,0.3022192860114023,0.029391470307568085
2000,0.6763060035041298,0.2946821253620338,0.029011871133836308
2001,0.6818586450548024,0.28938168802507375,0.028759666920123887
2002,0.686688355946528,0.2843991675678623,0.02891247648560965
2003,0.6880395320693828,0.2825574828559903,0.029402985074626867
2004,0.695214331551569,0.27530947848438897,0.02947618996404206
2005,0.6929258003702796,0.2793793167581094,0.027694882871611055
2006,0.6957575195732236,0.2763553772638782,0.0278871031628981
2007,0.6982321666897613,0.27403239569127097,0.027735437618967743
2008,0.6989463375097092,0.2735706325352065,0.02748302995508426
2009,0.6947735594292457,0.27498266570973273,0.030243774861021568
2010,0.6832721482300738,0.2867360467982757,0.02999180497165053
2011,0.683976108592483,0.2847468419499156,0.031277049457601375
2012,0.682244618489333,0.2864333077070921,0.03132207380357486
2013,0.6804892025483641,0.28860927842317674,0.030901519028459185
2014,0.6800057025618139,0.28704960608934427,0.03294469134884182
2015,0.6756891999552275,0.2912054991144266,0.03310530093034587
2016,0.6794700769770022,0.2897969740075003,0.03073294901549749
2017,0.6742803797943406,0.29522723860992267,0.030492381595736695
